State,County,CFS12_GEOID,CFS12_Name
31,161,E330000US3199999999,Remainder of Nebraska
31,163,E330000US3199999999,Remainder of Nebraska
31,165,E330000US3199999999,Remainder of Nebraska
31,167,E330000US3199999999,Remainder of Nebraska
31,169,E330000US3199999999,Remainder of Nebraska
31,171,E330000US3199999999,Remainder of Nebraska
31,173,E330000US3199999999,Remainder of Nebraska
31,175,E330000US3199999999,Remainder of Nebraska
31,177,E330000US3142000000,"Omaha-Council Bluffs-Fremont,NE-IA  CFS Area (NE Part)"
31,179,E330000US3199999999,Remainder of Nebraska
31,181,E330000US3199999999,Remainder of Nebraska
31,183,E330000US3199999999,Remainder of Nebraska
31,185,E330000US3199999999,Remainder of Nebraska
32,001,E330000US3299999999,Remainder of Nevada
32,003,E330000US3233200000,"Las Vegas-Henderson,NV-AZ  CFS Area (NV Part)"
32,005,E330000US3299999999,Remainder of Nevada
32,007,E330000US3299999999,Remainder of Nevada
32,009,E330000US3299999999,Remainder of Nevada
32,011,E330000US3299999999,Remainder of Nevada
32,013,E330000US3299999999,Remainder of Nevada
32,015,E330000US3299999999,Remainder of Nevada
32,017,E330000US3299999999,Remainder of Nevada
32,019,E330000US3299999999,Remainder of Nevada
32,021,E330000US3299999999,Remainder of Nevada
32,023,E330000US3233200000,"Las Vegas-Henderson,NV-AZ  CFS Area (NV Part)"
32,027,E330000US3299999999,Remainder of Nevada
32,029,E330000US3299999999,Remainder of Nevada
32,031,E330000US3299999999,Remainder of Nevada
32,033,E330000US3299999999,Remainder of Nevada
32,510,E330000US3299999999,Remainder of Nevada
33,001,E330000US3314800000,"Boston-Worcester-Providence,MA-RI-NH-CT  CFS Area (NH Part)"
33,003,E330000US3399999999,Remainder of New Hampshire
33,005,E330000US3399999999,Remainder of New Hampshire
33,007,E330000US3399999999,Remainder of New Hampshire
33,009,E330000US3399999999,Remainder of New Hampshire
33,011,E330000US3314800000,"Boston-Worcester-Providence,MA-RI-NH-CT  CFS Area (NH Part)"
33,013,E330000US3314800000,"Boston-Worcester-Providence,MA-RI-NH-CT  CFS Area (NH Part)"
33,015,E330000US3314800000,"Boston-Worcester-Providence,MA-RI-NH-CT  CFS Area (NH Part)"
33,017,E330000US3314800000,"Boston-Worcester-Providence,MA-RI-NH-CT  CFS Area (NH Part)"
33,019,E330000US3399999999,Remainder of New Hampshire
34,001,E330000US3442800000,"Philadelphia-Reading-Camden,PA-NJ-DE-MD  CFS Area (NJ Part)"
34,003,E330000US3440800000,"New York-Newark,NY-NJ-CT-PA  CFS Area (NJ Part)"
34,005,E330000US3442800000,"Philadelphia-Reading-Camden,PA-NJ-DE-MD  CFS Area (NJ Part)"
34,007,E330000US3442800000,"Philadelphia-Reading-Camden,PA-NJ-DE-MD  CFS Area (NJ Part)"
34,009,E330000US3442800000,"Philadelphia-Reading-Camden,PA-NJ-DE-MD  CFS Area (NJ Part)"
34,011,E330000US3442800000,"Philadelphia-Reading-Camden,PA-NJ-DE-MD  CFS Area (NJ Part)"
34,013,E330000US3440800000,"New York-Newark,NY-NJ-CT-PA  CFS Area (NJ Part)"
34,015,E330000US3442800000,"Philadelphia-Reading-Camden,PA-NJ-DE-MD  CFS Area (NJ Part)"
34,017,E330000US3440800000,"New York-Newark,NY-NJ-CT-PA  CFS Area (NJ Part)"
34,019,E330000US3440800000,"New York-Newark,NY-NJ-CT-PA  CFS Area (NJ Part)"
34,021,E330000US3440800000,"New York-Newark,NY-NJ-CT-PA  CFS Area (NJ Part)"
34,023,E330000US3440800000,"New York-Newark,NY-NJ-CT-PA  CFS Area (NJ Part)"
34,025,E330000US3440800000,"New York-Newark,NY-NJ-CT-PA  CFS Area (NJ Part)"
34,027,E330000US3440800000,"New York-Newark,NY-NJ-CT-PA  CFS Area (NJ Part)"
34,029,E330000US3440800000,"New York-Newark,NY-NJ-CT-PA  CFS Area (NJ Part)"
34,031,E330000US3440800000,"New York-Newark,NY-NJ-CT-PA  CFS Area (NJ Part)"
34,033,E330000US3442800000,"Philadelphia-Reading-Camden,PA-NJ-DE-MD  CFS Area (NJ Part)"
34,035,E330000US3440800000,"New York-Newark,NY-NJ-CT-PA  CFS Area (NJ Part)"
34,037,E330000US3440800000,"New York-Newark,NY-NJ-CT-PA  CFS Area (NJ Part)"
34,039,E330000US3440800000,"New York-Newark,NY-NJ-CT-PA  CFS Area (NJ Part)"
34,041,E330000US3440800000,"New York-Newark,NY-NJ-CT-PA  CFS Area (NJ Part)"
35,001,E330000US3599999999,Remainder of New Mexico
35,003,E330000US3599999999,Remainder of New Mexico
35,005,E330000US3599999999,Remainder of New Mexico
35,006,E330000US3599999999,Remainder of New Mexico
35,007,E330000US3599999999,Remainder of New Mexico
35,009,E330000US3599999999,Remainder of New Mexico
35,011,E330000US3599999999,Remainder of New Mexico
35,013,E330000US3599999999,Remainder of New Mexico
35,015,E330000US3599999999,Remainder of New Mexico
35,017,E330000US3599999999,Remainder of New Mexico
35,019,E330000US3599999999,Remainder of New Mexico
35,021,E330000US3599999999,Remainder of New Mexico
35,023,E330000US3599999999,Remainder of New Mexico
35,025,E330000US3599999999,Remainder of New Mexico
35,027,E330000US3599999999,Remainder of New Mexico
35,028,E330000US3599999999,Remainder of New Mexico
35,029,E330000US3599999999,Remainder of New Mexico
35,031,E330000US3599999999,Remainder of New Mexico
